0,1,2,3,4
123,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-quan-y-he-dan-su?keyword=DYH,Học Viện Quân Y - Hệ Dân sự,DYH,Hà Nội
124,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quoc-te-mien-dong?keyword=EIU,Đại học Quốc tế Miền Đông,EIU,Bình Dương
125,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-hoa-binh?keyword=ETU,Đại học Hòa Bình,ETU,Hà Nội
126,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-tai-chinh-ngan-hang-ha-noi?keyword=FBU,Đại học Tài Chính Ngân Hàng Hà Nội,FBU,Hà Nội
127,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-fpt?keyword=FPT,Đại Học FPT,FPT,Hà Nội
128,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-gia-dinh?keyword=GDU,Đại học Gia Định,GDU,TP HCM
129,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-giao-thong-van-tai-co-so-phia-bac?keyword=GHA,Đại học Giao thông Vận tải ( Cơ sở Phía Bắc ),GHA,Hà Nội
130,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-nghe-thuat-trung-uong?keyword=GNT,Đại Học Sư Phạm Nghệ Thuật Trung Ương,GNT,Hà Nội
131,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-giao-thong-van-tai-co-so-phia-nam?keyword=GSA,Đại học Giao thông Vận tải ( Cơ sở Phía Nam),GSA,TP HCM
132,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-giao-thong-van-tai?keyword=GTA,Đại học Công nghệ Giao thông vận tải,GTA,Hà Nội
133,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-giao-thong-van-tai-tp-hcm?keyword=GTS,Đại học Giao thông vận tải TP HCM,GTS,TP HCM
134,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-bao-chi-va-tuyen-truyen?keyword=HBT,Học viện Báo chí và Tuyên truyền,HBT,Hà Nội
135,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-chinh-tri-cong-an-nhan-dan?keyword=HCA,Học viện Chính Trị Công An Nhân Dân,HCA,Hà Nội
136,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-bac?keyword=HCB,Đại học Kỹ Thuật - Hậu Cần Công An Nhân Dân ( Phía Bắc ),HCB,Bắc Ninh
137,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hanh-chinh-quoc-gia-phia-bac?keyword=HCH,Học Viện Hành Chính Quốc Gia ( phía Bắc ),HCH,Hà Nội
138,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-nam?keyword=HCN,Đại học Kỹ Thuật - Hậu Cần Công An Nhân Dân ( Phía Nam ),HCN,Đồng Nai
139,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-chinh-sach-va-phat-trien?keyword=HCP,Học viện Chính sách và Phát triển,HCP,Hà Nội
140,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hanh-chinh-quoc-gia-phia-nam?keyword=HCS,Học Viện Hành Chính Quốc Gia (phía Nam),HCS,TP HCM
141,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-hong-duc?keyword=HDT,Đại học Hồng Đức,HDT,Thanh Hóa
142,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hau-can-he-quan-su?keyword=HEH,Học viện Hậu Cần - Hệ Quân sự,HEH,Hà Nội
143,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-tai-chinh-ke-toan?keyword=HFA,Đại học Tài Chính Kế Toán,HFA,Hà Nội
144,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hau-can-he-dan-su?keyword=HFH,Học Viện Hậu Cần - Hệ Dân sự,HFH,Hà Nội
145,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-phong-hoa?keyword=HGH,Trường Sĩ Quan Phòng Hóa,HGH,Hà Nội
146,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-hang-hai-viet-nam?keyword=HHA,Đại học Hàng hải Việt Nam,HHA,Hải Phòng
147,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hang-khong-viet-nam?keyword=HHK,Học viện Hàng không Việt Nam,HHK,TP HCM
148,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ha-tinh?keyword=HHT,Đại học Hà Tĩnh,HHT,Hà Tĩnh
149,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quoc-te-hong-bang?keyword=HIU,Đại học Quốc tế Hồng Bàng,HIU,TP HCM
150,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ha-long?keyword=HLU,Đại học Hạ Long,HLU,Quảng Ninh
151,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-thu-do-ha-noi?keyword=HNM,Đại học Thủ Đô Hà Nội,HNM,Hà Nội
152,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-phu-nu-viet-nam?keyword=HPN,Học viện Phụ nữ Việt Nam,HPN,Hà Nội
153,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-hai-quan?keyword=HQH,Học viện Hải Quân,HQH,Khánh Hòa
154,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ngoai-giao?keyword=HQT,Học viện Ngoại giao,HQT,Hà Nội
155,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-hoa-sen?keyword=HSU,Đại học Hoa Sen,HSU,TP HCM
156,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-toa-an?keyword=HTA,Học viện Tòa án,HTA,Hà Nội
157,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-tai-chinh?keyword=HTC,Học viện Tài chính,HTC,Hà Nội
158,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-thanh-thieu-nien-viet-nam?keyword=HTN,Học viện Thanh Thiếu Niên Việt Nam,HTN,Hà Nội
159,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghiep-tp-hcm?keyword=HUI,Đại học Công nghiệp TP HCM,HUI,TP HCM
160,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-am-nhac-hue?keyword=HVA,Học Viện Âm Nhạc Huế,HVA,Huế
161,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-can-bo-tp-hcm?keyword=HVC,Học viện cán bộ TP HCM,HVC,TP HCM
162,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-nong-nghiep-viet-nam?keyword=HVN,Học viện Nông Nghiệp Việt Nam,HVN,Hà Nội
163,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-quan-ly-giao-duc?keyword=HVQ,Học viện Quản Lý Giáo Dục,HVQ,Hà Nội
164,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-y-duoc-hoc-co-truyen-viet-nam?keyword=HYD,Học viện Y Dược học cổ truyền Việt Nam,HYD,Hà Nội
165,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ky-thuat-cong-nghe-can-tho?keyword=KCC,Đại học Kỹ thuật Công nghệ Cần Thơ,KCC,Cần Thơ
166,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi?keyword=KCN,Đại học Khoa Học Và Công Nghệ Hà Nội,KCN,Hà Nội
167,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-khong-quan-he-dai-hoc?keyword=KGH,Trường Sĩ Quan Không Quân - Hệ Đại học,KGH,Khánh Hòa
168,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-quoc-dan?keyword=KHA,Đại học Kinh tế quốc dân,KHA,Hà Nội
169,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/phan-hieu-hvktmm-tai-tp-hcm?keyword=KMA,Phân hiệu HVKTMM tại TP HCM,KMA,TP HCM
170,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ki-thuat-quan-su-he-quan-su?keyword=KQH,Học viện Kĩ Thuật Quân Sự - Hệ Quân sự,KQH,Hà Nội
171,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-tp-hcm?keyword=KSA,Đại học Kinh tế TP HCM,KSA,TP HCM
172,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kien-truc-ha-noi?keyword=KTA,Đại học Kiến trúc Hà Nội,KTA,Hà Nội
173,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kien-truc-da-nang?keyword=KTD,Đại học Kiến trúc Đà Nẵng,KTD,Đà Nẵng
174,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kien-truc-tai-trung-tam-dao-tao-co-so-can-tho?keyword=KTS,Đại học Kiến trúc tại Trung tâm đào tạo cơ sở Cần Thơ,KTS,Cần Thơ
175,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan?keyword=LAH,Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,LAH,Hà Nội
176,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue?keyword=LBH,Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,LBH,Đồng Nai
177,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-nguyen-hue?keyword=LBS,Đại học Nguyễn Huệ,LBS,Hà Nội
178,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-chinh-tri-dai-hoc-chinh-tri?keyword=LCH,Trường Sĩ Quan Chính Trị - Đại học Chính Trị,LCH,Hà Nội
179,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-chinh-tri-he-dan-su?keyword=LCS,Trường Sĩ quan Chính trị (hệ dân sự),LCS,Hà Nội
180,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-doan?keyword=LDA,Đại học Công đoàn,LDA,Hà Nội
181,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-lam-nghiep-co-so-1?keyword=LNH,Đại học Lâm nghiệp (Cơ sở 1),LNH,Hà Nội
182,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-lam-nghiep-co-so-2?keyword=LNS,Đại học Lâm nghiệp (Cơ sở 2),LNS,Đồng Nai
183,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-luat-ha-noi?keyword=LPH,Đại học Luật Hà Nội,LPH,Hà Nội
184,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-luat-tp-hcm?keyword=LPS,Đại học Luật TP HCM,LPS,TP HCM
185,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-mo-tp-hcm?keyword=MBS,Đại học Mở TP HCM,MBS,TP HCM
186,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-my-thuat-cong-nghiep-a-chau?keyword=MCA,Đại Học Mỹ Thuật Công Nghiệp Á Châu,MCA,Hà Nội
187,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-mo-dia-chat?keyword=MDA,Đại học Mỏ - Địa chất,MDA,Hà Nội
188,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-mo-ha-noi?keyword=MHN,Đại học Mở Hà Nội,MHN,Hà Nội
189,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-my-thuat-cong-nghiep?keyword=MTC,Đại học Mỹ thuật Công nghiệp,MTC,Hà Nội
190,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-my-thuat-viet-nam?keyword=MTH,Đại học Mỹ Thuật Việt Nam,MTH,Hà Nội
191,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-my-thuat-tp-hcm?keyword=MTS,Đại học Mỹ Thuật TP HCM,MTS,TP HCM
192,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-xay-dung-mien-tay?keyword=MTU,Đại học Xây dựng Miền Tây,MTU,Vĩnh Long
193,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ngan-hang-phan-vien-bac-ninh?keyword=NHB,Học viện Ngân Hàng Phân Viện Bắc Ninh,NHB,Bắc Ninh
194,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ha-noi?keyword=NHF,Đại học Hà Nội,NHF,Hà Nội
195,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ngan-hang?keyword=NHH,Học viện Ngân hàng,NHH,Hà Nội
196,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ngan-hang-phan-vien-phu-yen?keyword=NHP,Học Viên Ngân Hàng (Phân Viện Phú Yên),NHP,Phú Yên
197,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ngan-hang-tp-hcm?keyword=NHS,Đại học Ngân hàng TP HCM,NHS,TP HCM
198,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/phan-hieu-dai-hoc-nong-lam-tp-hcm-tai-gia-lai?keyword=NLG,Phân hiệu Đại học Nông Lâm TP HCM tại Gia Lai,NLG,Gia Lai
199,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/phan-hieu-dai-hoc-nong-lam-tp-hcm-tai-ninh-thuan?keyword=NLN,Phân hiệu Đại học Nông Lâm TP HCM tại Ninh Thuận,NLN,Ninh Thuận
200,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-nong-lam-tp-hcm?keyword=NLS,Đại học Nông Lâm TP HCM,NLS,TP HCM
201,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-khoa-hoc-quan-su-he-quan-su?keyword=NQH,Học viện Khoa Học Quân Sự - Hệ Quân sự,NQH,Hà Nội
202,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ngoai-thuong-phia-bac?keyword=NTH,Đại học Ngoại thương (phía Bắc),NTH,Hà Nội
203,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ngoai-thuong-phia-nam?keyword=NTS,Đại học Ngoại thương (phía Nam),NTS,TP HCM
204,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-nguyen-tat-thanh?keyword=NTT,Đại học Nguyễn Tất Thành,NTT,TP HCM
205,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-nguyen-trai?keyword=NTU,Đại học Nguyễn Trãi,NTU,Hà Nội
206,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-am-nhac-quoc-gia-viet-nam?keyword=NVH,Học Viện Âm Nhạc Quốc Gia Việt Nam,NVH,Hà Nội
207,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/nhac-vien-tp-hcm?keyword=NVS,Nhạc viện TP HCM,NVS,TP HCM
208,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/truong-si-quan-phao-binh?keyword=PBH,Trường Sĩ Quan Pháo Binh,PBH,Hà Nội
209,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phong-chay-chua-chay-phia-bac?keyword=PCH,Đại học Phòng Cháy Chữa Cháy ( Phía Bắc ),PCH,Hà Nội
210,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phong-chay-chua-chay-he-dan-su-phia-bac?keyword=PCH1,Đại học Phòng Cháy Chữa Cháy ( Hệ Dân sự Phía Bắc ),PCH1,Hòa Bình
211,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phong-chay-chua-chay-phia-nam?keyword=PCS,Đại học Phòng Cháy Chữa Cháy (phía Nam),PCS,Đồng Nai
212,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phong-chay-chua-chay-he-dan-su-phia-nam?keyword=PCS1,Đại học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),PCS1,Hà Nội
213,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-phong-khong-khong-quan?keyword=PKH,Học viện Phòng Không - Không Quân,PKH,Hà Nội
214,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-dau-khi-viet-nam?keyword=PVU,Đại học Dầu khí Việt Nam,PVU,Bà Rịa - Vũng Tàu
215,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-quan-tri-va-kinh-doanh-dh-quoc-gia-ha-noi?keyword=QHD,Khoa Quản trị và Kinh doanh - ĐH Quốc gia Hà Nội,QHD,Hà Nội
216,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-dai-hoc-quoc-gia-ha-noi?keyword=QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,QHE,Hà Nội
217,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ngoai-ngu-dai-hoc-quoc-gia-ha-noi?keyword=QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,QHF,Hà Nội
218,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi?keyword=QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,QHI,Hà Nội
219,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-cac-khoa-hoc-lien-nganh-dai-hoc-quoc-gia-ha-noi?keyword=QHK,Khoa các khoa học liên ngành - Đại học Quốc gia Hà Nội,QHK,Hà Nội
220,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-luat-dai-hoc-quoc-gia-ha-noi?keyword=QHL,Khoa Luật - Đại học Quốc gia Hà Nội,QHL,Hà Nội
221,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-quoc-te-dai-hoc-quoc-gia-ha-noi?keyword=QHQ,Khoa Quốc Tế - Đại học Quốc Gia Hà Nội,QHQ,Hà Nội
222,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-giao-duc-dai-hoc-quoc-gia-ha-noi?keyword=QHS,Đại học Giáo dục - Đại học Quốc gia Hà Nội,QHS,Hà Nội
223,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi?keyword=QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,QHT,Hà Nội
224,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi?keyword=QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX,Hà Nội
225,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi?keyword=QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,QHY,Hà Nội
226,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-an-giang-dai-hoc-quoc-gia-tp-hcm?keyword=QSA,Đại học An Giang - Đại học Quốc gia TP HCM,QSA,An Giang
227,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tp-hcm?keyword=QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,QSB,TP HCM
228,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-thong-tin-dai-hoc-quoc-gia-tp-hcm?keyword=QSC,Đại học Công nghệ Thông tin - Đại học Quốc gia TP HCM,QSC,TP HCM
229,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-chinh-tri-hanh-chinh-dai-hoc-quoc-gia-tp-hcm?keyword=QSH,Khoa Chính trị - Hành chính - Đại học Quốc gia TP HCM,QSH,TP HCM
230,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tp-hcm?keyword=QSK,"Đại học Kinh tế - Luật, Đại học Quốc gia TP HCM",QSK,TP HCM
231,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quoc-te-dai-hoc-quoc-gia-tp-hcm?keyword=QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,QSQ,TP HCM
232,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tp-hcm?keyword=QST,Đại học Khoa học Tự nhiên - Đại học Quốc gia TP HCM,QST,TP HCM
233,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tp-hcm?keyword=QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,QSX,TP HCM
234,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-y-dai-hoc-quoc-gia-tp-hcm?keyword=QSY,Khoa Y - Đại học Quốc Gia TP HCM,QSY,TP HCM
235,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-sao-do?keyword=SDU,Đại học Sao Đỏ,SDU,Hải Dương
236,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-sai-gon?keyword=SGD,Đại học Sài Gòn,SGD,TP HCM
237,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-san-khau-dien-anh?keyword=SKD,Đại Học Sân Khấu Điện Ảnh,SKD,Hà Nội
238,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-ky-thuat-hung-yen?keyword=SKH,Đại học Sư phạm Kỹ thuật Hưng Yên,SKH,Hưng Yên
239,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-ky-thuat-nam-dinh?keyword=SKN,Đại Học Sư Phạm Kỹ Thuật Nam Định,SKN,Nam Định
240,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-ky-thuat-vinh?keyword=SKV,Đại học Sư Phạm Kỹ Thuật Vinh,SKV,Nghệ An
