0,1,2,3,4
30,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-giao-duc-the-chat-dai-hoc-da-nang?keyword=DDG,Khoa Giáo dục thể chất - Đại học Đà Nẵng,DDG,Hà Nội
31,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-bach-khoa-dai-hoc-da-nang?keyword=DDK,Đại học Bách Khoa - Đại học Đà Nẵng,DDK,Đà Nẵng
32,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-dien-luc?keyword=DDL,Đại học Điện lực,DDL,Hà Nội
33,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghiep-quang-ninh?keyword=DDM,Đại học Công Nghiệp Quảng Ninh,DDM,Quảng Ninh
34,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-dai-nam?keyword=DDN,Đại học Đại Nam,DDN,Hà Nội
35,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/phan-hieu-dai-hoc-da-nang-tai-kon-tum?keyword=DDP,Phân Hiệu Đại học Đà Nẵng tại Kon Tum,DDP,Kon Tum
36,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-dai-hoc-da-nang?keyword=DDQ,Đại học Kinh Tế - Đại học Đà Nẵng,DDQ,Đà Nẵng
37,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-dai-hoc-da-nang?keyword=DDS,Đại học Sư Phạm - Đại học Đà Nẵng,DDS,Đà Nẵng
38,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-dan-lap-duy-tan?keyword=DDT,Đại học Dân Lập Duy Tân,DDT,Đà Nẵng
39,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-dong-do?keyword=DDU,Đại Học Đông Đô,DDU,Hà Nội
